Action,Path,Details
ERROR,c:\$Recycle.Bin\S-1-5-18,Scan-Fehler: open c:\$Recycle.Bin\S-1-5-18: Access is denied.
ERROR,c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1001,Scan-Fehler: open c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1001: Access is denied.
ERROR,c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1093,Scan-Fehler: open c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1093: Access is denied.
ERROR,c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1103,Scan-Fehler: open c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1103: Access is denied.
ERROR,c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1107,Scan-Fehler: open c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1107: Access is denied.
ERROR,c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1119,Scan-Fehler: open c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1119: Access is denied.
ERROR,c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1122,Scan-Fehler: open c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1122: Access is denied.
ERROR,c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1143,Scan-Fehler: open c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1143: Access is denied.
ERROR,c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1145,Scan-Fehler: open c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1145: Access is denied.
ERROR,c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1165,Scan-Fehler: open c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1165: Access is denied.
ERROR,c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1169,Scan-Fehler: open c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1169: Access is denied.
ERROR,c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1180,Scan-Fehler: open c:\$Recycle.Bin\S-1-5-21-3114793838-1135871211-3342606386-1180: Access is denied.
ERROR,c:\$Recycle.Bin\S-1-5-21-957675255-2849421853-4226389020-1628,Scan-Fehler: open c:\$Recycle.Bin\S-1-5-21-957675255-2849421853-4226389020-1628: Access is denied.
ERROR,c:\AMD\AMD-Software-Adrenalin-Edition-23.12.1-MinimalSetup-231205_web\Bin64,Scan-Fehler: open c:\AMD\AMD-Software-Adrenalin-Edition-23.12.1-MinimalSetup-231205_web\Bin64: Access is denied.
ERROR,c:\AMD\AMD-Software-Adrenalin-Edition-23.12.1-MinimalSetup-231205_web\Config,Scan-Fehler: open c:\AMD\AMD-Software-Adrenalin-Edition-23.12.1-MinimalSetup-231205_web\Config: Access is denied.
ERROR,c:\AMD\AMD-Software-Adrenalin-Edition-24.5.1-MinimalSetup-240514_web\Bin64,Scan-Fehler: open c:\AMD\AMD-Software-Adrenalin-Edition-24.5.1-MinimalSetup-240514_web\Bin64: Access is denied.
